lat,lon,index,name,Coordinates
41.9067614,-88.2549079,49,DuPage Airport,"41.9067614, -88.25490789999999"
41.977945,-87.906555,50,Oxford Airport Technical Services,"41.977945, -87.906555"
41.9230324,-87.6448749,51,Children's Memorial Hospital,"41.9230324, -87.64487489999999"
42.0777777,-88.1236111,52,Ameritech Center,"42.07777770000001, -88.12361109999999"
41.6049742,-88.091909,53,Lewis University Airport,"41.6049742, -88.091909"
41.6958919,-88.1288051,54,Bolingbrook's Clow International Airport,"41.69589190000001, -88.1288051"
41.800034,-87.627828,55,First Area Police Headquarters,"41.800034, -87.627828"
41.9908508,-88.1023632,56,Schaumburg Airport,"41.9908508, -88.1023632"
42.2064772,-88.3172456,57,Lake in the Hills Airport (3CK),"42.20647719999999, -88.31724559999999"
42.416305,-87.868192,58,Waukegan National Airport,"42.416305, -87.868192"
41.7327067,-87.9992803,59,Brookeridge Airpark,"41.7327067, -87.9992803"
41.7880459,-87.6039031,60,University of Chicago-Aeromedical,"41.7880459, -87.6039031"
42.047772,-88.0526497,61,Schaumburg Municipal Helistop,"42.04777199999999, -88.05264969999999"
42.1583581,-88.2264694,62,Kuranz RLA Airport,"42.15835810000001, -88.22646940000001"
41.734572,-88.2030051,63,Naper Aero Club Airport,"41.734572, -88.2030051"
41.5588836,-87.8059862,64,Tinley Park Helistop Heliport,"41.5588836, -87.80598619999999"
42.0772842,-88.2149186,65,Sears Merchandise Group,"42.0772842, -88.21491859999999"
35.5493932,139.7798386,66,Haneda Airport,"35.5493932, 139.7798386"
35.6725616,139.5295131,67,Chofu Airport,"35.6725616, 139.5295131"
35.6359789,139.8378026,68,Tokyo Heliport,"35.6359789, 139.8378026"
35.463213,139.6374793,69,Herinaitokuru Helipad,"35.46321299999999, 139.6374793"
35.3424561,139.6553085,70,Yokohama heliport,"35.34245609999999, 139.6553085"
35.634097,139.837462,71,ãƒžã‚¤ãƒŠãƒŸç©ºæ¸¯ã‚µãƒ¼ãƒ“ã‚¹ï¼ˆæ ªï¼‰ æ�±äº¬äº‹æ¥­æ‰€,"35.634097, 139.837462"
35.637058,139.837226,72,æ–°æ—¥æœ¬ãƒ˜ãƒªã‚³ãƒ—ã‚¿ãƒ¼ï¼ˆæ ªï¼‰ åŸºåœ°,"35.637058, 139.837226"
35.682774,139.785107,73,æ�±äº¬æ²¹å•�å±‹å¸‚å ´,"35.682774, 139.785107"
35.5493932,139.7798386,74,Haneda,"35.5493932, 139.7798386"
35.5450535,139.7692164,75,Tokyo International Airport (Haneda Airport),"35.5450535, 139.7692164"
35.5496355,139.7846158,76,Tokyo Haneda Airport,"35.5496355, 139.7846158"
35.5509036,139.788965,77,ANA Lounge Haneda Main Building South,"35.55090360000001, 139.788965"
35.5554531,139.7543989,78,Haneda Airport,"35.5554531, 139.7543989"
35.5554531,139.7543989,79,Haneda,"35.5554531, 139.7543989"
35.5508472,139.7881935,80,Haneda Airport Terminal 2,"35.5508472, 139.7881935"
35.5509831,139.7886068,81,ç¾½ç”°ç©ºæ¸¯å›½å†…ç·š ç¬¬2æ—…å®¢ã‚¿ãƒ¼ãƒŸãƒŠãƒ«,"35.5509831, 139.7886068"
35.6604237,139.7294321,82,Robbongi Hills Helipad,"35.6604237, 139.7294321"
35.4629078,139.6371827,83,Yokohama Sky Cruise,"35.462907799999996, 139.6371827"
35.6628136,140.0829747,84,æ ªå¼�ä¼šç¤¾ãƒ€ã‚¤ãƒ¤ã‚µãƒ¼ãƒ“ã‚¹|ãƒ‰ãƒ­ãƒ¼ãƒ³ç©ºæ’®ãƒ»é£›è¡Œå ´é�‹å–¶ãƒ»ã‚¹ã‚¯ãƒ¼ãƒ«é�‹å–¶ãƒ»ãƒ¡ãƒ‡ã‚£ã‚¢é�‹å–¶,"35.6628136, 140.0829747"
35.671126,140.082929,85,HATAãƒ‰ãƒ­ãƒ¼ãƒ³ãƒ•ã‚£ãƒ¼ãƒ«ãƒ‰å�ƒè‘‰ï¼ˆãƒ‰ãƒ­ãƒ¼ãƒ³å±‹å¤–é£›è¡Œç·´ç¿’å ´ï¼‰,"35.67112600000001, 140.082929"
34.1983122,-118.3574036,86,Bob Hope Airport,"34.1983122, -118.3574036"
33.9415889,-118.40853,87,Los Angeles International Airport,"33.9415889, -118.40853"
33.8167909,-118.1513588,88,Long Beach Airport,"33.81679089999999, -118.1513588"
34.2096399,-118.4896448,89,Van Nuys Airport,"34.2096399, -118.4896448"
34.0602889,-118.2304514,90,Los Angeles County Mens Detention Center - Main Jail Heliport,"34.0602889, -118.2304514"
33.8718561,-117.9794311,91,Fullerton Municipal Airport,"33.87185609999999, -117.9794311"
34.0848443,-118.033012,92,El Monte Airport,"34.0848443, -118.033012"
34.2604797,-118.4124255,93,Whiteman Airport,"34.2604797, -118.4124255"
33.9222798,-118.327327,94,Hawthorne Municipal Airport,"33.9222798, -118.327327"
33.9439886,-118.4093193,95,Total Airport Services,"33.9439886, -118.4093193"
33.8014667,-118.3417501,96,Zamperini Field,"33.8014667, -118.3417501"
33.8898146,-118.2436733,97,Compton/Woodley Airport,"33.88981459999999, -118.2436733"
34.2059979,-118.4864597,98,Clay Lacy Aviation,"34.20599790000001, -118.4864597"
34.0224268,-118.4096256,99,AAKASH TRAVEL,"34.0224268, -118.4096256"
34.203488,-118.491986,100,Signature Flight Support VNY West - Van Nuys Airport,"34.203488, -118.491986"
34.1972272,-118.1739616,101,Camp 2 Heliport,"34.1972272, -118.1739616"
34.0637826,-118.3723712,102,AIrport Sedan service,"34.0637826, -118.3723712"
34.1515411,-118.6977538,103,Station 125 Helipad,"34.15154109999999, -118.6977538"
34.0619516,-118.6470291,104,Camp 8 Heliport,"34.06195160000001, -118.6470291"
34.0280996,-118.4711418,105,Supermarine of Little Rock Llc,"34.02809959999999, -118.4711418"
49.020896,2.4547041,106,Comfort Hotel CDG Goussainville,"49.020896, 2.4547041"
48.7262433,2.3652472,107,Orly Airport,"48.7262433, 2.3652471999999998"
48.9614725,2.437202,108,Paris Airport-Le Bourget,"48.9614725, 2.437202"
49.0011492,2.5145636,109,Transparc 95,"49.00114920000001, 2.5145636"
49.045132,2.347683,110,Aero Club Enghien Moisselles,"49.045132, 2.347683"
49.0096906,2.5479245,111,Charles de Gaulle Airport,"49.0096906, 2.547924499999999"
48.8226148,2.6247073,112,Airfield Lognes,"48.82261479999999, 2.6247073"
49.0436647,2.6262986,113,Parking Roissy Discount,"49.0436647, 2.6262986"
48.7497178,2.1111166,114,Aerodrome of Toussus-le-Noble,"48.7497178, 2.1111166"
48.8775548,2.4764837,115,Air China,"48.87755479999999, 2.4764837"
48.8227246,2.625954,116,AÃ©ro Club Sadi Lecointe,"48.82272460000001, 2.625954"
48.9483123,2.4355864,117,BNIA/BRIA du Bourget,"48.9483123, 2.4355864"
48.98839,2.518291,118,G-OPS,"48.98839, 2.518291000000001"
48.8885518,2.2226012,119,AIRPORT TAXIPRO,"48.88855179999999, 2.2226012"
48.9573437,2.0619448,120,TOUS A BORD,"48.95734369999999, 2.0619448"
48.8858341,2.4006832,121,Paris Airport Service System,"48.8858341, 2.4006832"
48.7406072,2.3592604,122,AÃ©roports de Paris Management (ADPM),"48.7406072, 2.3592604"
48.837677,2.621002,123,TAXI FREDERIC LOGNES/FERRIERES EN BRIE/ MARNE LA VALLEE,"48.83767700000001, 2.621002"
48.871684,2.2895802,124,ProTours,"48.87168399999999, 2.2895802"
49.0126368,2.5589259,125,Terminal 3,"49.0126368, 2.5589259"
32.8998091,-97.0403352,126,Dallas/Fort Worth International Airport,"32.8998091, -97.0403352"
32.8481029,-96.8512063,127,Dallas Love Field Airport,"32.84810289999999, -96.8512063"
32.9869299,-97.3140305,128,Fort Worth Alliance Airport,"32.9869299, -97.3140305"
32.6806895,-96.8671846,129,Dallas Executive Airport-RBD,"32.6806895, -96.8671846"
32.8206921,-97.3598387,130,Fort Worth Meacham International Airport,"32.8206921, -97.3598387"
32.969972,-96.836467,131,Addison Airport,"32.969972, -96.83646700000001"
32.802955,-96.769923,132,Market Centre Heliport,"32.802955, -96.769923"
32.7000962,-97.046637,133,Grand Prairie Municipal Airport,"32.7000962, -97.04663699999999"
33.20119,-97.196582,134,Denton Enterprise Airport,"33.20119, -97.19658199999999"
32.8098505,-96.8491691,135,Stemmons Place Heliport,"32.8098505, -96.8491691"
33.1162314,-97.321618,136,Sitton Field,"33.1162314, -97.321618"
32.9867883,-96.6974966,137,Owens Country Sausage Heliport,"32.9867883, -96.6974966"
32.6279125,-97.1919563,138,Birk Airport-4TX4,"32.62791249999999, -97.1919563"
33.0945661,-97.3802975,139,Willow Run Airport,"33.0945661, -97.3802975"
32.8062172,-97.4260852,140,Northrop Grumman,"32.80621720000001, -97.42608519999999"
33.0496582,-97.2322654,141,Northwest Regional Airport- 52F,"33.0496582, -97.23226539999999"
32.8250293,-97.3578381,142,Texas Jet Inc,"32.8250293, -97.3578381"
32.5376375,-97.1308427,143,Flying L Airpark,"32.5376375, -97.1308427"
33.0263299,-96.838743,144,Air Park-Dallas Airport,"33.0263299, -96.838743"
33.095122,-97.426966,145,Fairview,"33.095122, -97.426966"
50.0142518,8.4272257,146,Wanderlust Hostel,"50.0142518, 8.427225699999997"
50.0379326,8.5621518,147,Frankfurt Airport,"50.0379326, 8.5621518"
49.9628345,8.6415534,148,Hessische Flugplatz GmbH Egelsbach,"49.9628345, 8.6415534"
50.041038,8.536081,149,FraGround Fraport Ground Services GmbH,"50.041038, 8.536081"
49.85081,8.64982,150,Sportflieger-Club Darmstadt,"49.85080999999999, 8.64982"
49.9723097,8.1485629,151,Mainz Finthen Airport,"49.9723097, 8.1485629"
50.1214217,8.6184414,152,Parken Flughafen Frankfurt,"50.1214217, 8.6184414"
50.290536,8.539554,153,Airfield Anspach-Taunus (EDFA),"50.290536, 8.539553999999999"
50.04854,8.54098,154,Carportfly - Valet Park,"50.04854, 8.540980000000001"
50.014438,8.584886,155,Technik Gewerkschaft Luftfahrt,"50.014438, 8.584886000000001"
49.90284,8.679888,156,Taxi u. Flughafentransfer Darmstadt,"49.90283999999999, 8.679888"
50.33541,8.87594,157,Flugplatz Reichelsheim,"50.33541, 8.87594"
49.9102468,8.6511823,158,Aero de Luxe-Flughafentransfer,"49.9102468, 8.651182299999999"
50.363242,8.71357,159,Flugplatz Ober-MÃ¶rlen,"50.363242, 8.713569999999999"
49.8396851,8.8503702,160,SegelfluggelÃ¤nde Reinheim,"49.8396851, 8.8503702"
49.962657,8.641543,161,Motorflugschule Egelsbach GmbH,"49.962657, 8.641542999999999"
50.24323,8.64433,162,BB BusinessLine Chauffeur-und Limousinenservice,"50.24323, 8.64433"
50.0486324,8.5402183,163,Airport Industrie und Gefahrgutverpackungen,"50.0486324, 8.5402183"
49.9624383,8.6373831,164,Polizeifliegerstaffel,"49.9624383, 8.6373831"
50.0070768,8.6949722,165,MT GlobalExperts,"50.00707679999999, 8.6949722"
22.197085,113.559097,166,Macau Ferry Terminal & Heliport,"22.197085, 113.559097"
22.308047,113.9184808,167,Hong Kong International Airport,"22.308047, 113.9184808"
22.1578359,113.5764123,168,Macau International Airport,"22.1578359, 113.5764123"
22.636828,113.814606,169,Shenzhen Bao'an International Airport,"22.636828, 113.814606"
22.647955,113.818698,170,Shenzhen Baoan International Airport Terminal A,"22.647955, 113.818698"
22.55765,113.932607,171,Shenzhen Nantou Heliport Airport,"22.55765, 113.932607"
22.248252,113.593822,172,Zhuhai Jiuzhou Airport,"22.248252, 113.593822"
22.216324,113.552096,173,æ·±åœ³å›½é™…æœºåœºæ‹±åŒ—å�£å²¸åŸŽå¸‚å€™æœºæ¥¼,"22.216324, 113.552096"
22.252608,113.581349,174,Shenzhen Airport Houjilou,"22.252608, 113.581349"
22.3168206,114.1702239,175,æ—…é�Šç«™ Tour Station,"22.3168206, 114.1702239"
22.2958666,113.9117911,176,Hong Kong Business Aviation Centre,"22.2958666, 113.9117911"
22.3103772,113.9175545,177,Midfield Aircourse,"22.3103772, 113.9175545"
22.287347,113.568239,178,Guangzhou Baiyun International Airport Zhuhai Terminal Building,"22.287347, 113.568239"
22.218533,113.556059,179,å¹¿å·žç™½äº‘å›½é™…æœºåœºç� æµ·å€™æœºæ¥¼,"22.218533, 113.556059"
22.3132417,113.926974,180,The Clubhouse,"22.3132417, 113.926974"
22.3152242,113.9247559,181,é¦™æ¸¯åœ‹éš›æ©Ÿå ´N64R,"22.3152242, 113.9247559"
22.3172631,113.9302248,182,Hong Kong International Airport North Satellite Concourse,"22.3172631, 113.9302248"
22.315232,113.933962,183,Hong Kong Airport Services Ltd,"22.315232, 113.933962"
22.3150037,113.9354291,184,é¦™æ¸¯åœ‹éš›æ©Ÿå ´BæŽ¥æ©Ÿå¤§å ‚,"22.3150037, 113.9354291"
22.3156426,113.9350814,185,China Airlines Counter,"22.3156426, 113.9350814"
39.8560963,-104.6737376,186,Denver International Airport,"39.8560963, -104.6737376"
39.5717788,-104.8479389,187,Centennial Airport,"39.5717788, -104.8479389"
39.7909481,-104.5492887,188,Front Range Airport,"39.7909481, -104.5492887"
39.7163763,-104.7324708,189,Simons Airport,"39.71637629999999, -104.7324708"
39.983124,-104.7047257,190,Brighton Van Aire Estates,"39.983124, -104.7047257"
39.8667623,-104.9005896,191,Public Service Company/MDC Heliport,"39.8667623, -104.9005896"
39.9633172,-104.7491363,192,Heckendorf Ranches Airport,"39.96331720000001, -104.7491363"
39.7280333,-104.8273207,193,Medical Center of Aurora North Campus Heliport,"39.7280333, -104.8273207"
40.0075509,-105.0508451,194,Erie Municipal Airport,"40.0075509, -105.0508451"
39.5282284,-104.6550938,195,Everitt Airport-1CO8,"39.5282284, -104.6550938"
39.7666533,-105.0902619,196,Lutheran Medical Center Heliport,"39.76665330000001, -105.0902619"
40.0715656,-105.02725,197,Parkland AIRPORT-7CO0,"40.0715656, -105.02725"
39.8495428,-104.6738673,198,"Jeppesen Terminal, DEN","39.84954279999999, -104.6738673"
39.912372,-105.1150981,199,"Aero Systems, Inc.","39.912372, -105.1150981"
39.9831496,-104.7045927,200,Van-Aire Skyport,"39.9831496, -104.7045927"
39.6131707,-104.8901302,201,Logplan,"39.61317069999999, -104.8901302"
39.6874488,-104.8862044,202,Adam Travel Services,"39.68744879999999, -104.8862044"
39.7222097,-105.1238304,203,Denver Federal Center Reclamation,"39.7222097, -105.1238304"
39.568352,-104.847407,204,XJet,"39.568352, -104.847407"
39.570112,-104.8474347,205,Signature Flight Support APA - Centennial Airport,"39.57011200000001, -104.8474347"
25.2531745,55.3656728,206,Dubai International Airport,"25.2531745, 55.36567280000001"
25.3284352,55.5122577,207,Sharjah International Airport,"25.3284352, 55.5122577"
24.8977876,55.1431018,208,Al Maktoum International Airport-DWC,"24.89778759999999, 55.1431018"
25.243272,55.334069,209,Seawings Seaplane,"25.243272, 55.334069"
25.3491164,55.3904915,210,Al Sajaa Shipping Agency,"25.3491164, 55.3904915"
25.260368,55.372793,211,Connectiv,"25.260368, 55.37279299999999"
25.241915,55.384186,212,Dubai Regional Airport (SKK),"25.241915, 55.384186"
25.2219033,55.2904719,213,HÃ©liport municipal de DubaÃ¯,"25.2219033, 55.2904719"
24.8868079,55.1594557,214,Passenger Terminal Building (PTB),"24.8868079, 55.1594557"
24.8708205,55.1732058,215,VIP Terminal,"24.8708205, 55.1732058"
25.2531745,55.3656728,216,"ATC TOWER, Dubai Airport","25.2531745, 55.36567280000001"
25.2460093,55.3585561,217,Almajlis dubaiairports.ae,"25.2460093, 55.35855609999999"
25.24402,55.3613379,218,Car Parking,"25.24402, 55.3613379"
25.2588232,55.3575439,219,Dubai International Airport,"25.2588232, 55.3575439"
25.2619688,55.3642417,220,Dubai Airport Cargo Village,"25.2619688, 55.36424169999999"
25.2466498,55.3502617,221,My airport parking space,"25.2466498, 55.3502617"
25.2575075,55.3441667,222,Concourse D,"25.2575075, 55.34416669999999"
25.257775,55.3438043,223,Bombardier - DXB APM,"25.257775, 55.3438043"
25.2694293,55.350975,224,Dubai Airport Gate 3 Staff Entrance,"25.2694293, 55.350975"
25.2709796,55.3484341,225,Dubai Airports AOCC,"25.2709796, 55.3484341"
-6.1275282,106.6537058,226,Soekarno-Hatta International Airport,"-6.1275282, 106.6537058"
-6.3361526,106.7638018,227,Pondok Cabe Airport,"-6.336152600000001, 106.7638018"
-6.295492,106.87203,228,tiket-pesawat-online.com / terminaltiket,"-6.295491999999999, 106.87203"
-6.2441872,106.8404906,229,Wisma Aldiron,"-6.2441872, 106.8404906"
-6.119817,106.674671,230,Geodis Wilson Indonesia. PT - Jakarta Airport,"-6.119817, 106.674671"
-6.133634,106.627617,231,Cipaganti Rent Car,"-6.133634000000001, 106.627617"
-6.29,106.5705569,232,Budiarto Airport,"-6.29, 106.5705569"
-6.125909,106.65197,233,RAJAWALI HANDLING SERVICE,"-6.125909, 106.65197"
-6.1281143,106.6628222,234,Terminal Kargo Bandara Soekarno-Hatta,"-6.1281143, 106.6628222"
-6.1348467,106.6461801,235,Hangar 4 GMF Aero Asia,"-6.134846699999999, 106.6461801"
-6.1489732,106.7680855,236,Mandiri utama,"-6.148973199999999, 106.7680855"
-6.202742,106.7992786,237,Apartment GP Plaza,"-6.202742, 106.7992786"
-6.1928115,106.8685459,238,Helipad BNPB,"-6.1928114999999995, 106.8685459"
-6.2636226,106.8915848,239,Halim Perdanakusuma Airport,"-6.2636226, 106.8915848"
-6.229411,106.918961,240,"Jasa Import Cargo, Jasa Import Borongan, Jasa Import Undername","-6.229411, 106.918961"
-6.3572101,106.8970413,241,Wiladatika Airport,"-6.3572101, 106.8970413"
-6.3569565,106.8975238,242,PT. Asia Aero Technology,"-6.356956499999999, 106.8975238"
-6.5063683,106.8769744,243,Air Transport Services,"-6.506368300000001, 106.8769744"
-6.1212797,106.6554015,244,SRIWIJAYA AIR T2 F,"-6.121279699999998, 106.6554015"
-6.1236725,106.6555249,245,Shelter Bus DAMRI Terminal 2F Soetta Airport,"-6.1236725, 106.6555249"
52.4698805,4.5931971,246,IJmuiden Heliport,"52.4698805, 4.593197099999998"
52.3105386,4.7682744,247,Amsterdam Airport Schiphol,"52.3105386, 4.7682744"
51.9555086,4.4398832,248,Rotterdam The Hague Airport,"51.95550859999999, 4.4398832"
52.1293974,5.2724374,249,Vliegbasis Soesterberg,"52.12939739999999, 5.272437399999999"
52.3130804,4.8073141,250,JetNetherlands,"52.3130804, 4.8073141"
52.1922118,5.146995,251,Hilversum airport,"52.1922118, 5.146995"
52.5386745,4.6265316,252,Eerste Zaanse Zweefvlieg-Club,"52.5386745, 4.6265316"
52.3124362,4.8082008,253,JetSupport b.v.,"52.3124362, 4.8082008"
52.2809454,4.7889131,254,schipholparking24.nl,"52.28094539999999, 4.7889130999999985"
52.3758161,4.7988356,255,Amsterdam Schiphol Airport Taxi,"52.3758161, 4.798835599999999"
52.2895195,4.725376,256,NH Schiphol Airport,"52.2895195, 4.725376"
52.03955,4.355891,257,ProSim4u - fly simulations,"52.03954999999999, 4.355891"
52.4148547,4.8044687,258,Amsterdam Heliport,"52.4148547, 4.804468700000001"
52.296226,4.50628,259,Kennemer Gliding Club,"52.296226, 4.506279999999999"
52.1762796,5.0214375,260,Shipyard Arie Wiegmans B.V.,"52.1762796, 5.0214375"
52.3103603,4.7607157,261,ServiceTec Airport Operations Netherlands BV,"52.31036030000001, 4.760715699999999"
52.3760518,5.2458434,262,Private Luxury Full Service VIP Hospitality Concierge Agencyâ„¢,"52.37605180000001, 5.2458434"
52.506813,4.769608,263,Ticketclaim,"52.506813, 4.769608"
52.2673746,4.611248,264,Swart-Transport-Services,"52.2673746, 4.611248000000001"
52.2674281,4.6435158,265,MRS-Schipholparkeren,"52.2674281, 4.6435158"
40.596755,-3.495003,266,Hotel Restaurante Asador Algete,"40.59675499999999, -3.495003"
40.4983322,-3.5675982,267,Madrid-Barajas Adolfo SuÃ¡rez Airport,"40.4983322, -3.5675982"
40.507192,-3.252618,268,Helipuerto Los Santos de la Humosa,"40.507192, -3.252618"
40.3711262,-3.7789728,269,Cuatro Vientos Airport,"40.37112619999999, -3.7789728"
40.4671587,-3.587854,270,"Airpark Aparcacoches, S.L.","40.4671587, -3.587854"
40.4711284,-3.5798748,271,Parking Larga Estancia Clement Barajas,"40.4711284, -3.5798748"
40.5489695,-3.6484497,272,Alquiler autocares Madrid GHBV,"40.54896950000001, -3.6484497"
40.41471,-3.703227,273,"Abogado de ExtranjerÃ­a y Penal Vega, Recursos denegaciÃ³n visado y nacionalidad extranjeria","40.41471, -3.703227"
40.458376,-3.53116,274,CAE Flight Training Services,"40.458376, -3.531159999999999"
40.4299224,-3.6910489,275,Erlogic,"40.4299224, -3.6910489"
40.4358365,-3.6842414,276,La Nava,"40.4358365, -3.6842414"
40.4039563,-3.995467,277,Aeroclub de Brunete,"40.4039563, -3.995467"
40.3685581,-3.7821298,278,CoyotAir S.A.,"40.3685581, -3.7821298"
40.658785,-3.191677,279,"Tecnivial, S.A.","40.65878499999999, -3.191677"
40.467973,-3.5693017,280,Aeropuerto barajas,"40.467973, -3.5693017"
40.457669,-3.578475,281,General Aviation Service SL,"40.457669, -3.578474999999999"
40.4543625,-3.5780529,282,Iberia Cargo Recogida,"40.45436249999999, -3.5780529"
40.489282,-3.5933909,283,Aeropuerto de Barajas,"40.489282, -3.5933908999999993"
40.4472378,-3.5939657,284,Cacesa,"40.44723779999999, -3.5939657"
40.4919907,-3.5937755,285,Aparcamiento,"40.4919907, -3.593775499999999"
13.6899991,100.7501124,286,Suvarnabhumi Airport,"13.6899991, 100.7501124"
13.9132602,100.6041987,287,Don Mueang International Airport,"13.9132602, 100.6041987"
13.6570928,100.6034026,288,The Monmanee Travel & Lifestyle Hotel,"13.6570928, 100.6034026"
13.7129247,100.6441301,289,à¸�à¸£à¸­à¸‡à¸—à¸­à¸‡à¹�à¸¡à¸™à¸Šà¸±à¹ˆà¸™ à¸ªà¸¸à¸‚à¸¸à¸¡à¸§à¸´à¸— 77,"13.7129247, 100.6441301"
13.698282,100.7728411,290,Airport Maintenance Facility 1,"13.698282, 100.7728411"
13.9354695,100.383479,291,OrbitzClub.Com,"13.9354695, 100.383479"
13.6966349,100.7733965,292,Airport Maintenance Facility 2,"13.6966349, 100.7733965"
13.917406,100.604553,293,à¸šà¸£à¸´à¸©à¸±à¸— à¹€à¸§à¸´à¸¥à¸”à¹Œà¸„à¸¥à¸²à¸ª à¹€à¸£à¸™à¸—à¹Œ à¸­à¸° à¸„à¸²à¸£à¹Œ à¸ˆà¸³à¸�à¸±à¸” @ à¸”à¸­à¸™à¹€à¸¡à¸·à¸­à¸‡,"13.917406, 100.604553"
13.6880921,100.6466859,294,à¸šà¸£à¸´à¸©à¸±à¸— à¹�à¸—à¸£à¹€à¸§à¸¥à¹�à¸­à¸—à¸­à¸µà¸ª à¸ˆà¸³à¸�à¸±à¸”,"13.6880921, 100.6466859"
13.920513,100.404519,295,Solaire Heliluck Aviation.,"13.920513, 100.404519"
13.716858,100.651645,296,"Bangkok Intercon Co., Ltd.","13.716858, 100.651645"
13.9172047,100.6005193,297,Limobus || Bangkok Airport,"13.9172047, 100.6005193"
13.9181886,100.601061,298,Don Mueang International Airport,"13.9181886, 100.601061"
13.8833288,100.6001208,299,Gems Park,"13.8833288, 100.6001208"
13.9350874,100.6416423,300,à¹€à¸«à¸¡à¸²à¹�à¸—à¹‡à¸�à¸‹à¸µà¹ˆà¸—à¸±à¹ˆà¸§à¹„à¸—à¸¢à¹„à¸›à¸—à¸¸à¸�à¸ˆà¸±à¸‡à¸«à¸§à¸±à¸”,"13.9350874, 100.6416423"
